设备大类,device_id,仪器分类路径
大气采样器,air_sampler,样品处理仪器与设备 > 提取设备 > 大气采样器
自动涂布机,auto_coater,样品处理仪器与设备 > 样品制备设备 > 自动涂布机
自动滴定仪,auto_titrator,合成制备仪器与设备 > 液体分配设备 > 自动滴定仪
高压消毒机,autoclave_sterilizer,样品处理仪器与设备 > 消毒机 > 高压消毒机
球磨机,ball_mill,样品处理仪器与设备 > 粉碎设备 > 球磨机
床层反应器,bed_reactor,合成制备仪器与设备 > 反应器 > 床层反应器
黑体辐射源,blackbody_radiation_source,加热、制冷及空气净化与调节设备 > 固体浴 > 黑体辐射源
匀浆机,blender_homogenizer,样品处理仪器与设备 > 混合与分散设备 > 匀浆机
血液柜,blood_bank_refrigerator,加热、制冷及空气净化与调节设备 > 冰箱及类似设备 > 血液柜
箱式电阻炉,box_resistance_furnace,加热、制冷及空气净化与调节设备 > 恒温箱及类似设备 > 高温炉 > 箱式电阻炉
开关盖加液模块,cap_and_dispense_module,合成制备仪器与设备 > 液体分配设备 > 开关盖加液模块
催化剂评价装置,catalyst_evaluation_unit,合成制备仪器与设备 > 反应器 > 催化剂评价装置
离心萃取机,centrifugal_extractor,样品处理仪器与设备 > 提取设备 > 离心萃取机
离心机,centrifuge,样品处理仪器与设备 > 分离设备 > 离心机
投料反应站,charging_reaction_station,合成制备仪器与设备 > 液体分配设备 > 投料反应站
化学消毒机,chemical_sterilizer,样品处理仪器与设备 > 消毒机 > 化学消毒机
纽扣电池组装工站,coin_cell_assembly_station,器件制备设备 > 电池组装设备 > 纽扣电池组装工站
组合合成反应仪,combinatorial_synthesis_reactor,合成制备仪器与设备 > 反应器 > 组合合成反应仪
复合型清洗机,composite_cleaner,样品处理仪器与设备 > 清洗机 > 复合型清洗机
恒流泵,constant_flow_pump,合成制备仪器与设备 > 实验泵 > 恒流泵
粉碎机,crusher,样品处理仪器与设备 > 粉碎设备 > 粉碎机
切割机,cutting_machine,样品处理仪器与设备 > 样品制备设备 > 切割机
